AOS.Howard.Moore.Name	Strata_exposure	Understorey	Midstorey	Canopy	Ant-following 
Akletos_goeldii	unexposed	1	0	0	regular
Akletos_melanoceps	unexposed	1	0	0	no
Ammonastes_pelzelni	unexposed	1	0	0	no
Ampelornis_griseiceps	unexposed	1	0	0	no
Aprositornis_disjuncta	unexposed	1	0	0	no
Batara_cinerea	unexposed	1	1	0	no
Biatas_nigropectus	unexposed	1	1	0	no
Cercomacra_brasiliana	unexposed	1	1	0	no
Cercomacra_carbonaria	unexposed	1	1	0	no
Cercomacra_cinerascens	unexposed	0	1	0	no
Cercomacra_ferdinandi	unexposed	0	1	0	no
Cercomacra_manu	unexposed	0	1	0	no
Cercomacra_melanaria	unexposed	1	0	0	no
Cercomacra_nigricans	unexposed	1	1	0	no
Cercomacroides_fuscicauda	unexposed	1	0	0	no
Cercomacroides_laeta	unexposed	1	0	0	no
Cercomacroides_nigrescens	unexposed	1	0	0	no
Cercomacroides_parkeri	unexposed	1	0	0	no
Cercomacroides_serva	unexposed	1	0	0	no
Cercomacroides_tyrannina	unexposed	1	0	0	regular
Clytoctantes_alixii	unexposed	1	0	0	no
Clytoctantes_atrogularis	unexposed	1	0	0	no
Cymbilaimus_lineatus	unexposed	1	1	0	regular
Cymbilaimus_sanctaemariae	unexposed	0	1	1	no
Dichrozona_cincta	unexposed	1	0	0	no
Drymophila_caudata	unexposed	1	1	0	no
Drymophila_devillei	unexposed	1	1	0	no
Drymophila_ferruginea	unexposed	1	1	0	no
Drymophila_genei	unexposed	1	0	0	no
Drymophila_hellmayri	unexposed	1	1	0	no
Drymophila_klagesi	unexposed	1	1	0	no
Drymophila_malura	unexposed	1	0	0	no
Drymophila_ochropyga	unexposed	1	0	0	no
Drymophila_rubricollis	unexposed	1	1	0	no
Drymophila_squamata	unexposed	1	0	0	no
Drymophila_striaticeps	unexposed	1	1	0	no
Dysithamnus_leucostictus	unexposed	1	0	0	no
Dysithamnus_mentalis	unexposed	1	1	0	no
Dysithamnus_occidentalis	unexposed	1	0	0	no
Dysithamnus_plumbeus	unexposed	1	0	0	no
Dysithamnus_puncticeps	unexposed	1	1	0	no
Dysithamnus_stictothorax	unexposed	1	1	0	no
Dysithamnus_striaticeps	unexposed	1	1	0	no
Dysithamnus_xanthopterus	unexposed	0	1	1	no
Epinecrophylla_amazonica	unexposed	1	1	0	no
Epinecrophylla_erythrura	unexposed	1	1	0	no
Epinecrophylla_fjeldsaai	unexposed	1	0	0	no
Epinecrophylla_fulviventris	unexposed	1	0	0	no
Epinecrophylla_gutturalis	unexposed	1	0	0	no
Epinecrophylla_haematonota	unexposed	1	0	0	no
Epinecrophylla_leucophthalma	unexposed	1	0	0	no
Epinecrophylla_ornata	unexposed	1	1	0	no
Epinecrophylla_spodionota	unexposed	1	0	0	no
Euchrepomis_callinota	exposed	0	0	1	no
Euchrepomis_humeralis	exposed	0	0	1	no
Euchrepomis_sharpei	exposed	0	0	1	no
Euchrepomis_spodioptila	exposed	0	0	1	no
Formicivora_erythronotos	unexposed	1	0	0	no
Formicivora_grantsaui	exposed	1	0	0	no
Formicivora_grisea	exposed	1	1	0	no
Formicivora_iheringi	exposed	1	1	0	no
Formicivora_littoralis	exposed	1	0	0	no
Formicivora_melanogaster	exposed	1	1	0	no
Formicivora_rufa	exposed	1	0	0	no
Formicivora_serrana	exposed	1	0	0	no
Frederickena_fulva	unexposed	1	0	0	no
Frederickena_unduliger	unexposed	1	0	0	no
Frederickena_viridis	unexposed	1	0	0	no
Gymnocichla_nudiceps	unexposed	1	0	0	regular
Gymnopithys_bicolor	unexposed	1	0	0	obligate
Gymnopithys_leucaspis	unexposed	1	0	0	obligate
Gymnopithys_rufigula	unexposed	1	0	0	obligate
Hafferia_fortis	unexposed	1	0	0	regular
Hafferia_immaculata	unexposed	1	0	0	regular
Hafferia_zeledoni	unexposed	1	0	0	regular
Herpsilochmus_atricapillus	exposed	0	1	1	no
Herpsilochmus_axillaris	exposed	0	0	1	no
Herpsilochmus_dorsimaculatus	exposed	0	0	1	no
Herpsilochmus_dugandi	exposed	0	0	1	no
Herpsilochmus_gentryi	exposed	0	0	1	no
Herpsilochmus_longirostris	exposed	1	1	1	no
Herpsilochmus_motacilloides	exposed	0	0	1	no
Herpsilochmus_parkeri	exposed	0	0	1	no
Herpsilochmus_pectoralis	exposed	1	1	1	no
Herpsilochmus_pileatus	exposed	0	1	1	no
Herpsilochmus_praedictus	exposed	0	1	1	no
Herpsilochmus_roraimae	exposed	0	0	1	no
Herpsilochmus_rufimarginatus	exposed	0	1	1	no
Herpsilochmus_sellowi	exposed	0	0	0	no
Herpsilochmus_stictocephalus	exposed	0	0	1	no
Herpsilochmus_sticturus	exposed	0	0	1	no
Herpsilochmus_stotzi	exposed	0	1	1	no
Hylophylax_naevioides	unexposed	1	0	0	regular
Hylophylax_naevius	unexposed	1	0	0	no
Hylophylax_punctulatus	unexposed	1	0	0	no
Hypocnemis_cantator	unexposed	1	0	0	no
Hypocnemis_flavescens	unexposed	1	0	0	no
Hypocnemis_hypoxantha	unexposed	1	0	0	no
Hypocnemis_ochrogyna	unexposed	1	0	0	no
Hypocnemis_peruviana	unexposed	1	0	0	no
Hypocnemis_rondoni	unexposed	1	0	0	no
Hypocnemis_striata	unexposed	1	1	0	no
Hypocnemis_subflava	unexposed	1	1	0	no
Hypocnemoides_maculicauda	unexposed	1	0	0	no
Hypocnemoides_melanopogon	unexposed	1	0	0	no
Hypoedaleus_guttatus	exposed	0	1	1	no
Isleria_guttata	unexposed	1	0	0	no
Isleria_hauxwelli	unexposed	1	0	0	no
Mackenziaena_leachii	unexposed	1	0	0	no
Mackenziaena_severa	unexposed	1	1	0	no
Megastictus_margaritatus	unexposed	1	1	0	no
Microrhopias_quixensis	unexposed	0	1	0	no
Myrmeciza_longipes	unexposed	1	0	0	regular
Myrmelastes_brunneiceps	unexposed	1	0	0	no
Myrmelastes_caurensis	unexposed	1	0	0	no
Myrmelastes_humaythae	unexposed	1	0	0	no
Myrmelastes_hyperythrus	unexposed	1	0	0	no
Myrmelastes_leucostigma	unexposed	1	0	0	no
Myrmelastes_rufifacies	unexposed	1	0	0	no
Myrmelastes_saturatus	unexposed	1	0	0	no
Myrmelastes_schistaceus	unexposed	1	0	0	no
Myrmoborus_leucophrys	unexposed	1	0	0	no
Myrmoborus_lophotes	unexposed	1	0	0	no
Myrmoborus_lugubris	unexposed	1	0	0	no
Myrmoborus_melanurus	unexposed	1	0	0	no
Myrmoborus_myotherinus	unexposed	1	0	0	no
Myrmochanes_hemileucus	exposed	1	0	0	no
Myrmoderus_eowilsoni	unexposed	1	0	0	no
Myrmoderus_ferrugineus	unexposed	1	0	0	regular
Myrmoderus_loricatus	unexposed	1	0	0	no
Myrmoderus_ruficauda	unexposed	1	0	0	no
Myrmoderus_squamosus	unexposed	1	0	0	no
Myrmophylax_atrothorax	unexposed	1	0	0	no
Myrmorchilus_strigilatus	exposed	1	0	0	no
Myrmornis_torquata	unexposed	1	0	0	no
Myrmotherula_ambigua	exposed	0	0	1	no
Myrmotherula_assimilis	unexposed	1	1	0	no
Myrmotherula_axillaris	unexposed	1	1	0	no
Myrmotherula_behni	unexposed	1	1	0	no
Myrmotherula_brachyura	exposed	0	0	1	no
Myrmotherula_cherriei	exposed	1	1	0	no
Myrmotherula_fluminensis	NA	NA	NA	NA	NA
Myrmotherula_grisea	unexposed	0	1	0	no
Myrmotherula_ignota	exposed	0	0	1	no
Myrmotherula_iheringi	unexposed	1	1	0	no
Myrmotherula_klagesi	exposed	0	0	1	no
Myrmotherula_longicauda	exposed	1	1	0	no
Myrmotherula_longipennis	unexposed	1	1	0	no
Myrmotherula_menetriesii	unexposed	1	1	0	no
Myrmotherula_minor	unexposed	0	1	0	no
Myrmotherula_multostriata	unexposed	1	1	0	no
Myrmotherula_pacifica	unexposed	1	1	0	no
Myrmotherula_schisticolor	unexposed	1	0	0	no
Myrmotherula_sclateri	exposed	0	0	1	no
Myrmotherula_snowi	unexposed	1	0	0	no
Myrmotherula_sunensis	unexposed	1	1	0	no
Myrmotherula_surinamensis	unexposed	1	1	0	no
Myrmotherula_unicolor	unexposed	1	1	0	no
Myrmotherula_urosticta	unexposed	1	1	0	no
Neoctantes_niger	unexposed	1	0	0	no
Oneillornis_lunulatus	unexposed	1	0	0	obligate
Oneillornis_salvini	unexposed	1	0	0	obligate
Percnostola_arenarum	unexposed	1	0	0	no
Percnostola_rufifrons	unexposed	1	0	0	regular
Phaenostictus_mcleannani	unexposed	1	0	0	obligate
Phlegopsis_borbae	unexposed	1	0	0	obligate
Phlegopsis_erythroptera	unexposed	1	0	0	obligate
Phlegopsis_nigromaculata	unexposed	1	0	0	obligate
Pithys_albifrons	unexposed	1	0	0	obligate
Pithys_castaneus	unexposed	1	0	0	obligate
Poliocrania_exsul	unexposed	1	0	0	regular
Pygiptila_stellaris	unexposed	0	1	1	no
Pyriglena_atra	unexposed	1	0	0	regular
Pyriglena_leuconota	unexposed	1	0	0	regular
Pyriglena_leucoptera	unexposed	1	0	0	regular
Rhegmatorhina_berlepschi	unexposed	1	0	0	obligate
Rhegmatorhina_cristata	unexposed	1	0	0	obligate
Rhegmatorhina_gymnops	unexposed	1	0	0	obligate
Rhegmatorhina_hoffmannsi	unexposed	1	0	0	obligate
Rhegmatorhina_melanosticta	unexposed	1	0	0	obligate
Rhopias_gularis	unexposed	1	0	0	no
Rhopornis_ardesiacus	unexposed	1	0	0	no
Sakesphorus_canadensis	exposed	1	1	0	no
Sakesphorus_cristatus	exposed	1	1	0	no
Sakesphorus_luctuosus	unexposed	1	1	0	no
Sciaphylax_castanea	unexposed	1	0	0	no
Sciaphylax_hemimelaena	unexposed	1	0	0	no
Sclateria_naevia	unexposed	1	0	0	no
Sipia_berlepschi	unexposed	1	0	0	no
Sipia_laemosticta	unexposed	1	0	0	no
Sipia_nigricauda	unexposed	1	0	0	no
Sipia_palliata	unexposed	1	0	0	no
Stymphalornis_acutirostris	exposed	1	0	0	no
Taraba_major	exposed	1	0	0	no
Terenura_maculata	exposed	0	1	1	no
Terenura_sicki	exposed	0	1	1	no
Thamnistes_anabatinus	unexposed	0	1	1	no
Thamnomanes_ardesiacus	unexposed	1	0	0	no
Thamnomanes_caesius	unexposed	1	1	0	no
Thamnomanes_saturninus	unexposed	1	0	0	no
Thamnomanes_schistogynus	unexposed	1	1	0	no
Thamnophilus_aethiops	unexposed	1	0	0	no
Thamnophilus_amazonicus	unexposed	1	1	0	no
Thamnophilus_ambiguus	unexposed	1	1	0	no
Thamnophilus_aroyae	unexposed	1	0	0	no
Thamnophilus_atrinucha	unexposed	1	1	0	no
Thamnophilus_bernardi	exposed	1	1	0	no
Thamnophilus_bridgesi	unexposed	1	1	0	no
Thamnophilus_caerulescens	unexposed	1	1	0	no
Thamnophilus_cryptoleucus	unexposed	1	1	0	no
Thamnophilus_divisorius	unexposed	1	0	0	no
Thamnophilus_doliatus	exposed	1	1	0	no
Thamnophilus_insignis	unexposed	1	1	0	no
Thamnophilus_melanonotus	unexposed	1	1	0	no
Thamnophilus_melanothorax	unexposed	1	1	0	no
Thamnophilus_multistriatus	unexposed	1	1	0	no
Thamnophilus_murinus	unexposed	0	1	0	no
Thamnophilus_nigriceps	unexposed	1	0	0	no
Thamnophilus_nigrocinereus	unexposed	1	1	0	no
Thamnophilus_palliatus	exposed	1	1	0	regular
Thamnophilus_pelzelni	unexposed	1	1	0	no
Thamnophilus_praecox	unexposed	1	0	0	no
Thamnophilus_punctatus	unexposed	1	1	0	no
Thamnophilus_ruficapillus	exposed	1	0	0	no
Thamnophilus_schistaceus	unexposed	0	1	0	no
