AOS.Howard.Moore.Name	Female_Song_Delta_Time_(s)	Female_Song_Peak_Freq_(Hz)	Female_Song_Avg_Entropy_(bits)	Female_Song_n.notes	Female_note_avg_duration_(s)	Female_Song_Pace_(n/s)
Akletos_goeldii	2.15575	2271.775	2.8755	8.5	0.134319444	3.710243708
Akletos_melanoceps	1.393	2343.8	2.911	6	0.1405	3.992015968
Aprositornis_disjuncta	2.261833333	3140.225	4.98825	3	0.712527778	1.290900941
Batara_cinerea	2.79075	1929.9375	2.7764375	27.625	0.061175596	9.754267905
Biatas_nigropectus	2.496	1753.21875	3.1298125	7.8125	0.177419023	2.938219569
Cercomacra_brasiliana	0.12175	1769.5	3.8965	1	0.12175	1
Cercomacra_carbonaria	0.111	1862.65	3.57875	2	0.05275	17.16738197
Cercomacra_cinerascens	0.179166667	1873.4	3.8131875	2.25	0.054020833	9.988346929
Cercomacra_ferdinandi	0.075916667	2002.6	3.8915	2	0.036791667	25.55910543
Cercomacra_manu	0.0835625	1617.225	3.4745625	2	0.03625	21.13606341
Cercomacra_melanaria	0.14225	2191.0125	3.99125	1	0.14225	1
Cercomacra_nigricans	0.1275	1931.9	3.597	1	0.1275	1
Cercomacroides_laeta	1.414875	3184.5	3.685	4.375	0.211952083	2.80566606
Cercomacroides_nigrescens	2.450833333	2104.8625	3.078208333	8.125	0.143590591	3.088101598
Cercomacroides_parkeri	2.523	2956.011111	3.52475	10.52777778	0.132782744	3.986155549
Cercomacroides_serva	1.5795625	2067.55625	3.4641875	6.5	0.096338988	3.708139708
Cercomacroides_tyrannina	1.5798125	2974.25	3.3116875	14.75	0.070089148	9.107628881
Clytoctantes_alixii	1.459645833	2963.185417	2.707833333	5.3125	0.19483497	3.409600697
Clytoctantes_atrogularis	9.661375	2071.825	2.755125	15.875	0.397833827	1.605757423
Cymbilaimus_lineatus	2.71525	1575.533333	2.555916667	5.333333333	0.350665774	1.832598427
Cymbilaimus_sanctaemariae	3.351	2947.233333	3.573	16	0.039245833	4.529321696
Drymophila_caudata	2.246875	3746.475	5.14425	11.625	0.100125049	4.949342141
Drymophila_devillei	3.3285	3552.95	4.31425	20.5	0.073777473	5.991294139
Drymophila_ferruginea	1.1213125	3328.025	4.111875	4.375	0.122338542	3.378466447
Drymophila_genei	1.6633125	4730.70625	3.931770833	5.583333333	0.190726935	3.1124394
Drymophila_malura	1.426166667	4411.905556	4.445611111	9.555555556	0.079066134	6.351089132
Drymophila_ochropyga	2.133979167	3797.908333	4.188916667	5.5625	0.273586673	2.45243948
Drymophila_rubricollis	1.538875	4002.477083	3.9906875	9.6875	0.095930408	6.020674702
Drymophila_squamata	3.1615	4862.816667	3.865416667	6.416666667	0.369627083	1.940155168
Drymophila_striaticeps	1.207604167	4322.441667	4.931145833	6.354166667	0.107757688	4.868103661
Dysithamnus_leucostictus	2.49075	1701.1375	2.706625	8.875	0.157551813	3.375195491
Dysithamnus_mentalis	2.367291667	1963.11875	3.678395833	11.64583333	0.089987775	4.67475306
Dysithamnus_occidentalis	1.627666667	2422.866667	3.356666667	9.333333333	0.110555556	5.492895855
Dysithamnus_plumbeus	2.22525	1433.566667	2.704833333	8.666666667	0.186939791	3.761285516
Dysithamnus_puncticeps	2.598208333	2357.9	2.822833333	26.58333333	0.052910999	10.05121602
Dysithamnus_stictothorax	2.124916667	2122.222222	3.106305556	14.72222222	0.079169187	6.707681352
Dysithamnus_striaticeps	3.6375	2131.8	3.22	19.5	0.091847368	5.217657205
Dysithamnus_xanthopterus	1.625361111	3084.494444	2.953472222	14.63888889	0.063442364	8.732137258
Epinecrophylla_erythrura	3.192	5598.6	4.075666667	6.333333333	0.203468254	1.784599859
Epinecrophylla_fulviventris	3.65075	7224.4	5.3995	14	0.056092857	3.616478424
Epinecrophylla_gutturalis	1.373	5957.533333	4.014666667	25.33333333	0.031720139	18.14187631
Epinecrophylla_haematonota	1.534458333	6651.9625	4.005625	18.08333333	0.055377905	11.54996916
Epinecrophylla_ornata	0.824	6818.866667	5.149	9.333333333	0.053537037	10.81600769
Euchrepomis_sharpei	2.78025	6503.05	4.667875	27.25	0.065059279	9.667829149
Euchrepomis_spodioptila	1.344	6890.6	5.221	12	0.03975	8.433965881
Formicivora_erythronotos	2.741333333	2357.9	4.31475	21	0.042792632	7.411413134
Formicivora_grisea	1.76275	1999.010417	3.783875	15.4375	0.037928985	8.370433728
Formicivora_iheringi	2.423305556	2897.45	3.655555556	5.805555556	0.148949769	2.112930432
Formicivora_littoralis	2.281	2727.5	5.323333333	24	0.027935185	10.20831707
Formicivora_melanogaster	2.673375	2328.5125	4.64675	14	0.03033991	4.918587743
Formicivora_rufa	2.391333333	2770.566667	4.889333333	39	0.026444145	16.06840616
Formicivora_serrana	2.404833333	2109.25	5.207916667	24.75	0.027392398	9.989732931
Frederickena_fulva	3.668	2196.375	2.58425	9.5	0.254244444	2.489926376
Frederickena_unduliger	5.0405	1916.45	2.7365	19.75	0.149039599	3.833211038
Frederickena_viridis	6.343375	1850.2	2.47175	12.875	0.412538176	2.00224696
Gymnocichla_nudiceps	3.2205	3515.6	4.011	12	0.129914286	3.559195899
Gymnopithys_leucaspis	3.752666667	3551.466667	4.133166667	16.66666667	0.176731515	4.38113836
Gymnopithys_rufigula	3.168333333	3201.233333	3.800333333	16.33333333	0.1536375	5.086195816
Hafferia_fortis	2.74775	2706.008333	3.008166667	9.25	0.198374074	3.236086101
Hafferia_immaculata	2.093555556	3027.111111	3.118666667	4.555555556	0.304538889	1.98743568
Hafferia_zeledoni	2.238895833	3395.941667	3.279375	10.14583333	0.106294665	4.288581227
Herpsilochmus_atricapillus	1.609125	2250.225	4.094	24.625	0.031908425	14.97891943
Herpsilochmus_axillaris	1.877625	3590.654167	3.955958333	32.66666667	0.032222842	17.15976462
Herpsilochmus_dorsimaculatus	1.617	2282.55	3.88725	27.25	0.036898715	16.6128591
Herpsilochmus_dugandi	1.634777778	2112.683333	4.104722222	14.11111111	0.047738258	8.261363972
Herpsilochmus_gentryi	1.661	2576.811111	4.168222222	14.72222222	0.047451923	8.504377662
Herpsilochmus_longirostris	1.835895833	1945.25	4.2851875	16.5625	0.053716103	8.732284256
Herpsilochmus_motacilloides	1.76825	2713.175	4.17775	30.75	0.032828909	17.14281344
Herpsilochmus_parkeri	1.746583333	2397.391667	3.922166667	15.08333333	0.065596825	8.378016877
Herpsilochmus_pectoralis	1.7285	1846.475	3.979	21.5	0.045063973	12.17747492
Herpsilochmus_pileatus	1.762958333	2362.55	3.753666667	21.45833333	0.040814935	11.87957597
Herpsilochmus_praedictus	1.759	2239.5	3.801	45	0.022155556	25.33329921
Herpsilochmus_roraimae	2.0135	2800.85	4.20575	18.25	0.045261567	8.764182078
Herpsilochmus_rufimarginatus	1.3113125	2488.3	3.872625	15.0625	0.055779453	11.20042203
Herpsilochmus_sellowi	1.918458333	2668.229167	3.884041667	52.625	0.022107583	27.22333934
Herpsilochmus_stictocephalus	1.658	2497.8625	4.105	12	0.062330395	6.893657661
Herpsilochmus_sticturus	1.861	2756.2	4.774	15	0.054866667	7.751365717
Herpsilochmus_stotzi	1.78925	2132.825	3.37475	29.5	0.030479004	16.20449738
Hylophylax_naevioides	2.618	4026.725	3.81625	13.75	0.145330882	5.156371271
Hylophylax_naevius	3.086	4298.6	4.404111111	16.22222222	0.122689054	5.136896701
Hylophylax_punctulatus	0.908770833	3839.414583	4.325395833	3.125	0.221132813	3.090288692
Hypocnemis_cantator	1.619055556	3371.122222	4.0665	8.722222222	0.099734724	5.082680408
Hypocnemis_flavescens	2.419666667	2874.408333	3.355458333	9.333333333	0.140081965	3.655636629
Hypocnemis_hypoxantha	2.6365625	3644.483333	3.816645833	8.4375	0.154961166	2.997056738
Hypocnemis_ochrogyna	2.170854167	2706.385417	4.051354167	12.125	0.103402831	5.381021457
Hypocnemis_peruviana	2.264541667	3053.227083	4.3571875	9.25	0.140321511	3.883778232
Hypocnemis_rondoni	0.866	2968.766667	3.702	4.333333333	0.1216	4.477879276
Hypocnemis_striata	1.495833333	2639.008333	3.698861111	8.027777778	0.107322611	5.061378112
Hypocnemis_subflava	2.138625	3044.875	3.856125	7	0.158073661	3.029459465
Hypocnemoides_maculicauda	3.524	3641.511111	3.795111111	21	0.094246478	5.831322826
Hypocnemoides_melanopogon	1.823083333	3444.120833	3.945583333	11.25	0.08491978	5.897028494
Hypoedaleus_guttatus	3.589166667	2954.633333	2.998833333	52	0.036812521	14.3566767
Isleria_guttata	5.727	4048.2	3.445	9	0.438777778	1.512795731
Isleria_hauxwelli	6.631	4010.5375	4.07475	17.125	0.200632955	2.507632906
Mackenziaena_leachii	4.144	3445.3	2.836	19	0.160105263	4.518191666
Mackenziaena_severa	2.717055556	2553.8	2.612055556	4.055555556	0.553388889	1.41221178
Megastictus_margaritatus	3.263	2472.65	3.547	14.75	0.140381101	4.403355147
Myrmeciza_longipes	1.708333333	3581.7	3.621166667	15.33333333	0.067175595	8.733671969
Myrmelastes_caurensis	3.2455	3875.95	4.725	8	0.148125	2.259978207
Myrmelastes_hyperythrus	1.873055556	2331.361111	3.579611111	24.94444444	0.035598298	13.0312933
Myrmelastes_leucostigma	2.106	3660.6	3.545	27	0.050444444	12.64864865
Myrmelastes_saturatus	2.30875	5085.95	3.881	17.75	0.061511481	7.453592424
Myrmelastes_schistaceus	2.266833333	3115.116667	3.189666667	6.666666667	0.226345238	2.777113319
Myrmoborus_leucophrys	2.7225	2936.45	3.604	27	0.047975	9.72135239
Myrmoborus_lophotes	2.110875	2320.1	3.423375	10.75	0.06819122	4.773132335
Myrmoborus_lugubris	3.017916667	3473.166667	3.704291667	21.25	0.075837591	6.882887739
Myrmoborus_melanurus	1.910444444	2708.377778	3.182	15	0.074359259	7.624918557
Myrmoborus_myotherinus	1.973604167	3609.588333	3.621420833	8.929166667	0.143243642	4.332024516
Myrmochanes_hemileucus	0.8624375	2203.69375	3.6978125	15	0.026777774	16.7532305
Myrmoderus_eowilsoni	2.310666667	3546.866667	2.603	5.333333333	0.291	2.145568576
Myrmoderus_ferrugineus	1.614729167	3613.602083	3.335729167	11.4375	0.088599497	6.839196046
Myrmoderus_loricatus	1.61	5173.29375	3.3980625	9.5625	0.106011458	5.69319497
Myrmoderus_ruficauda	1.6715	3606.8	3.96875	31.25	0.027334869	18.39839529
Myrmoderus_squamosus	1.848770833	5273.160417	3.598354167	11.8125	0.102305469	6.191076113
Myrmophylax_atrothorax	1.6931875	4616.083333	4.022125	8.791666667	0.100333003	4.891637422
Myrmorchilus_strigilatus	2.212541667	3828.416667	3.614583333	6.583333333	0.276172817	2.883403818
Myrmornis_torquata	8.048	3014.925	3.60725	19	0.267516708	2.313480966
Myrmotherula_assimilis	1.996625	2664.7625	3.9256875	28.9375	0.036501047	14.25292516
Myrmotherula_axillaris	1.931434524	2645.932143	4.337732143	11.85119048	0.11655634	5.979018631
Myrmotherula_brachyura	2.01175	2723.925	4.166875	17.75	0.047155584	8.525932815
Myrmotherula_cherriei	2.242	3014.65	4.844	53.5	0.025335461	23.68423326
Myrmotherula_ignota	2.430704762	2883.183333	3.973583333	17.2952381	0.063214196	6.882915747
Myrmotherula_iheringi	4.439305556	3025.708333	3.533555556	8.222222222	0.261737795	1.728810312
Myrmotherula_klagesi	3.253833333	2476.35	3.348833333	15.66666667	0.073558929	4.611761377
Myrmotherula_longicauda	2.3009375	2648.59375	3.946375	12.5625	0.066640328	5.175005431
Myrmotherula_longipennis	1.936	3051.333333	3.902	6.583333333	0.183791468	3.186454827
Myrmotherula_menetriesii	4.909833333	3725.216667	3.748333333	9.666666667	0.359801852	1.904748726
