AOS.Howard.Moore.Name	Male_Song_Delta_Time_(s)	Male_Song_Peak_Freq_(Hz)	Male_Song_Avg_Entropy_(bits)	Male_Song_n.notes	Male_note_avg_duration_(s)	Male_Song_Pace_(n/s)
Akletos_goeldii	2.313125	2018.75	2.878	8.3125	0.131555804	3.351945018
Akletos_melanoceps	2.318125	2167.70625	2.8715	5.875	0.212750595	2.315502644
Ammonastes_pelzelni	2.811	4500.35	3.038625	10	0.219871415	3.473389955
Aprositornis_disjuncta	3.117138889	3631.055556	4.952	3.666666667	0.812864815	1.157269744
Batara_cinerea	2.7450625	1808.80625	2.75575	22.625	0.072619184	8.091846092
Biatas_nigropectus	2.8561875	1697	2.900875	8.75	0.180171568	2.89609636
Cercomacra_brasiliana	0.1144375	1658.54375	3.8223125	1	0.1144375	1
Cercomacra_carbonaria	0.313125	1807.525	4.343	2	0.08609375	4.404679972
Cercomacra_cinerascens	0.5659375	2107.5875	4.4185625	2	0.1586875	2.455494168
Cercomacra_ferdinandi	1.539208333	1694.85625	3.978125	20.04166667	0.034941477	12.65843663
Cercomacra_manu	0.466375	1246.6625	4.0119375	2	0.08115625	2.595927639
Cercomacra_melanaria	3.158208333	1829.433333	4.2605	4.8125	0.411968229	1.388261716
Cercomacra_nigricans	0.2898125	1815.1375	4.2285	2	0.08884375	4.975897994
Cercomacroides_laeta	1.845583333	3345.63125	3.187708333	9.375	0.112463567	4.832326169
Cercomacroides_nigrescens	1.3695	2295.99375	3.6315	12.625	0.056006107	8.850440848
Cercomacroides_parkeri	2.982111111	2946.438889	3.543944444	12.41666667	0.118183864	3.986367558
Cercomacroides_serva	1.823125	2464.0875	3.881916667	11	0.051509821	5.644566676
Cercomacroides_tyrannina	1.653875	2637.80625	3.5760625	27.75	0.033108953	16.5045412
Clytoctantes_alixii	1.4244375	2823.65625	2.669	5.25	0.234032937	3.570214808
Clytoctantes_atrogularis	11.60166667	2235.633333	2.551	17	0.435278472	1.432871554
Cymbilaimus_lineatus	3.138375	1564.760417	2.510333333	5.25	0.471692361	1.593740454
Cymbilaimus_sanctaemariae	3.846833333	2821.339583	3.484541667	18.9375	0.043810646	4.716642912
Dichrozona_cincta	12.9804375	3116.925	2.5206875	13.9375	0.754592175	1.058209036
Drymophila_caudata	2.1298125	3896.472917	4.897520833	10.29166667	0.118094977	4.618773043
Drymophila_devillei	3.1820625	3653.775	4.4276875	15.4375	0.101669277	4.686901624
Drymophila_ferruginea	0.45275	3193.60625	3.7261875	2	0.120375	3.008649868
Drymophila_genei	1.566	5812.60625	4.9083125	4.5625	0.271175	2.751337053
Drymophila_malura	2.419895833	4637.764583	4.5394375	22.72916667	0.049455181	9.166720391
Drymophila_ochropyga	1.0133125	3913.875	4.5005	2	0.43684375	1.734699409
Drymophila_rubricollis	1.571895833	4108.352083	4.129458333	7.458333333	0.109038079	4.414874456
Drymophila_squamata	4.5899375	4834	3.7354375	6.9375	0.491988393	1.448895495
Drymophila_striaticeps	1.890958333	4146.027083	4.970020833	6.75	0.174219444	3.349373651
Dysithamnus_leucostictus	2.33075	1602.433333	2.814666667	7.75	0.162049603	3.112463118
Dysithamnus_mentalis	2.639770833	1928.125	3.570166667	14.8125	0.080786524	5.397649353
Dysithamnus_occidentalis	1.680222222	2227.983333	3.392277778	10.5	0.093822688	5.988403172
Dysithamnus_plumbeus	2.818375	1496.55	2.663875	11.5625	0.163452538	3.978458938
Dysithamnus_puncticeps	3.081041667	2362.391667	2.7944375	31	0.055866173	9.916780056
Dysithamnus_stictothorax	2.4770625	2149.475	2.746375	17.25	0.08177617	6.784157617
Dysithamnus_striaticeps	3.099	2166.658333	3.066583333	16.25	0.095026149	5.07660877
Dysithamnus_xanthopterus	1.788520833	3110.572917	3.0161875	16.3125	0.060599703	8.861804935
Epinecrophylla_amazonica	2.149958333	6425.770833	3.417666667	17.79166667	0.076717075	8.09923428
Epinecrophylla_dentei	1.42475	6550.8	3.74075	14	0.06651044	9.571212898
Epinecrophylla_erythrura	2.501375	6427.6625	4.780625	6.25	0.193351389	2.274673437
Epinecrophylla_fjeldsaai	1.3078125	6603.16875	3.741354167	14.04166667	0.064008298	10.4853052
