AOS.Howard.Moore.Name	wing_(mm)	primary10_(mm)	secondary_1_(mm)	rectrix_1_(mm)	Rwidth_(mm)	bill_length_(mm)	bill_width_(mm)	bill_depth_(mm)	tarsus_(mm)	hallux_(mm)
Akletos_goeldii	88.3475	63.01	82.855	68.5975	13.7075	13.605	5.45	6.3	33.48	22.4675
Akletos_melanoceps	85.515	58.36	80.4525	59.89	13.175	14.22	6.1475	6.5875	32.41	19.93
Ammonastes_pelzelni	56.3375	41.14	52.5575	46.185	9.5025	10.2525	3.9325	3.7375	23.5975	13.56
Ampelornis_griseiceps	56.955	37.2875	55.5575	54.19	8.7275	10.435	3.7975	3.4025	23.835	14.6675
Aprositornis_disjuncta	59.2425	39.62	54.8325	49.4275	13.4025	12.39	4.2375	3.93	25.4225	15.625
Batara_cinerea	116.68	81.5125	111.6	160.195	26.185	22.59	8.1025	12.685	46.49	26.7725
Biatas_nigropectus	74.502	51.822	69.1	79.534	10.524	11.7325	5.81	6.324	24.848	17.164
Cercomacra_brasiliana	59.6	45.26	54.23	67.91	11.76666667	9.145	4.433333333	4.21	21.68666667	12.77
Cercomacra_carbonaria	65.33	41.67	60.455	70.2175	10.865	11.43	4.8575	4.48	24.0625	14.1475
Cercomacra_cinerascens	61.7375	41.2825	58.965	65.31	11.9975	11.48	5.0825	4.6225	19.0125	12.9
Cercomacra_ferdinandi	68.92	46.935	62.65	73.485	11.74	11.255	5.075	4.6125	23.5925	13.745
Cercomacra_manu	67.225	43.61	63.4	73.975	14.83	11.06	5.385	4.69	22.905	13.98
Cercomacra_melanaria	70.476	46.968	64.8	76.054	14.226	10.678	4.484	4.2975	26.752	15.716
Cercomacra_nigricans	65.148	41.384	59.858	69.134	11.77	10.772	4.85	4.542	23.42333333	15.09
Cercomacroides_fuscicauda	65.8675	43.37	61.515	60.5475	11.97	11.315	4.1225	4.563333333	24.245	15.19
Cercomacroides_laeta	58.392	40.298	53.262	56.298	10.29	10.252	4.622	4.228	22.394	13.746
Cercomacroides_nigrescens	63.1	40.2675	58.845	59.835	12.765	10.94	4.91	4.3375	24.1775	15.2975
Cercomacroides_parkeri	62.04	40.7825	58.7375	64.27	10.8025	10.48	4.73	4.1925	22.5625	14.565
Cercomacroides_serva	63.1825	39.9675	58.9475	55.8975	12.29	10.28	4.4925	4.42	22.2025	15.315
Cercomacroides_tyrannina	62.116	40.91	57.762	57.866	10.156	10.972	5.094	4.482	22.746	14.592
Clytoctantes_alixii	74.07333333	50.32333333	69.33666667	59.15	13.85333333	15.68666667	4.116666667	9.193333333	22.39666667	23.61666667
Clytoctantes_atrogularis	77.01	54.43	73.78666667	60.62333333	16.10333333	14.44333333	4.223333333	9.286666667	22.01	21.24333333
Cymbilaimus_lineatus	75.12	52.7675	69.4575	70.6	11.3	14.5275	8.695	8.825	25.9775	15.2325
Cymbilaimus_sanctaemariae	70.586	48.43	66.718	64.35	10.282	13.61	7.176	7.558	24.118	15.598
Dichrozona_cincta	57.9375	44.0875	52.46	23.7525	5.1375	10.7725	3.6475	3.475	20.4875	12.1975
Drymophila_caudata	54.49	33.855	49.085	78.12	9.34	9.05	4.225	3.61	19.815	15.005
Drymophila_devillei	50.6	35.55125	45.5275	64.73142857	7.634285714	8.48875	4.11625	3.73125	18.435	12.26
Drymophila_ferruginea	51.1725	34.28	47.895	60.13	9.9075	9.005	4.435	3.8725	18.235	11.935
Drymophila_genei	52.715	34.52	49.135	68.005	9.585	8.2175	3.2475	3.245	21.2375	12.935
Drymophila_hellmayri	51.31	32.8125	43.4975	77.495	9.9025	8.815	4.505	4.02	20.34	13.38
Drymophila_klagesi	53.595	35.52	48.79	73.28	10.24	8.215	4.495	4.255	22.29	13.265
