AOS.Howard.Moore.Name	f.back.B2	f.bell.B2	f.brea.B2	f.crow.B2	f.rump.B2	f.tail.B2	f.thro.B2	f.back.S1R	f.bell.S1R	f.brea.S1R	f.crow.S1R	f.rump.S1R	f.tail.S1R	f.thro.S1R	m.back.B2	m.bell.B2	m.brea.B2	m.crow.B2	m.rump.B2	m.tail.B2	m.thro.B2	m.back.S1R	m.bell.S1R	m.brea.S1R	m.crow.S1R	m.rump.S1R	m.tail.S1R	m.thro.S1R
Akletos_goeldii	5.630182	22.289525	24.361256	5.338957	6.066856	6.739232	34.513972	0.5200189	0.4903616	0.4530692	0.3708812	0.5006557	0.3720361	0.3363707	2.811577	2.932756	0.2622566	0.2944808	0.2830484	0.3035259	0.2635165	5.098722	2.695737	3.151699	1.889696	2.277805	0.2847704	0.278555
Akletos_melanoceps	7.100502825	20.52275149	22.33260519	2.600549927	7.090078305	8.903751764	3.311457546	0.546272049	0.496630938	0.471988639	0.301806625	0.556011573	0.419596901	0.300525835	3.546934568	3.684847411	0.266226581	0.261509426	0.266183925	0.299168488	0.263459789	6.244306525	2.416029633	3.366474463	3.000986541	3.176937399	0.265741439	0.269095109
Ammonastes_pelzelni	8.56004659	8.504576855	33.76848813	3.905259759	6.227608836	6.757160968	35.76367576	0.345021026	0.376670236	0.264561424	0.355132145	0.395946576	0.389641301	0.27097827	4.89785256	8.810372316	0.368770131	0.516598364	0.261757258	0.311169566	0.446772874	5.16165745	3.698943777	3.180293473	2.531130918	1.455093041	0.32620298	0.25688901
Ampelornis_griseiceps	8.826333145	21.03290678	10.28829334	8.823891132	8.364107757	8.883968593	17.17811596	0.360970153	0.36608853	0.275848676	0.270619238	0.404649062	0.29624255	0.26843248	7.519662113	18.985171	0.289839107	0.35379741	0.265721504	0.307268932	0.363913207	8.744425391	9.627999452	3.717232081	6.440561673	8.310925024	0.278990609	0.272957401
Batara_cinerea	7.719559221	14.75685436	18.31464992	5.669981022	14.40083279	10.63296725	29.75074861	0.370467484	0.395055246	0.393283598	0.442197886	0.368317208	0.442387319	0.347247361	5.996706918	18.25282102	0.27165672	0.270513977	0.285774281	0.272273206	0.261672586	7.315837326	7.85176467	21.6010034	2.797323349	27.57559971	0.271611644	0.280661358
Biatas_nigropectus	6.770511656	16.03640085	16.80940376	4.880710892	7.828776949	9.716301389	33.18123158	0.401538314	0.380646878	0.404514671	0.486453691	0.389376627	0.500626058	0.292014818	6.368396513	13.99698855	0.491041662	0.415023169	0.380559082	0.402945297	0.42999725	9.78867879	8.904865838	11.97267916	2.775487082	4.068429733	0.262410849	0.285941854
Cercomacra_brasiliana	7.27352848	15.10911459	16.73941541	6.694271918	6.75259978	8.376314727	17.27134054	0.355561636	0.483983353	0.512158782	0.398712534	0.388997041	0.371989063	0.366445426	6.808894157	10.77546991	0.268787136	0.256430003	0.270163416	0.271342922	0.264402329	6.296569728	8.395248257	10.31183405	6.486428184	12.72549639	0.277831137	0.26896722
Cercomacra_carbonaria	8.358388232	10.93926901	11.12879133	5.647993212	9.100833021	8.911523781	15.71963048	0.28068586	0.329570065	0.308296572	0.303982229	0.262098063	0.26706626	0.274531373	6.654252174	4.025129974	0.268349905	0.266762789	0.290138779	0.284723184	0.284661283	6.624474934	6.452269071	2.624586602	4.707812602	2.882540246	0.269037782	0.285537377
Cercomacra_cinerascens	7.141757776	11.79777453	11.44378705	5.813007621	8.021261425	7.773889427	13.82589524	0.348544162	0.416052835	0.419087131	0.39845922	0.30891671	0.286801309	0.407035879	6.319344037	9.317131896	0.270127305	0.260138431	0.259373813	0.268239896	0.255081125	6.578255004	8.326172703	10.40908626	5.263879953	8.75245008	0.267000832	0.262245945
Cercomacra_ferdinandi	6.70038633	8.512300025	7.677438325	5.179823467	8.257097593	5.527707545	12.74300688	0.272647345	0.277372329	0.281581015	0.285917319	0.266553261	0.267687147	0.286282382	3.158463362	3.300617967	0.244640131	0.253828327	0.253863558	0.257148705	0.247796631	5.051903912	4.302097896	2.462936627	2.725010203	3.210865376	0.257118261	0.261902402
