aos.howardmoore.species	howardmoore.family	dr.statistic	tb.statistic	nh.statistic	elev.mid	elev.max	elev.range	lat.mid	lat.max	lat.range	AM_percent	AN_percent	DT_percent	AF_percent	CA_percent
Akletos_goeldii	Thamnophilidae	-1.607858569	1.11596322	18.25256676	400	800	800	11.09698486	8.176086426	5.841796875	0.841362542	0.158637458	0	0	0
Akletos_melanoceps	Thamnophilidae	-1.607858569	1.11596322	18.25256676	250	500	500	4.313598633	2.640686035	13.90856934	0.919747539	0.080252461	0	0	0
Ammonastes_pelzelni	Thamnophilidae	-2.338268529	2.155109038	23.62000238	175	350	350	1.429105045	2.848453535	2.83869698	1	0	0	0	0
Ampelornis_griseiceps	Thamnophilidae	-2.290864757	2.023523094	23.12761488	1750	2900	2300	4.647247314	3.493408203	2.307678223	0	1	0	0	0
Aprositornis_disjuncta	Thamnophilidae	-2.493017303	2.316810333	24.86926666	75	150	150	1.211530526	4.138488769	5.853916487	1	0	0	0	0
Batara_cinerea	Thamnophilidae	-2.128074611	1.960609722	20.24328115	1300	2600	2600	23.70608521	17.12188721	13.168396	0.000146028	0.053842704	0.037602318	0.90840895	0
Biatas_nigropectus	Thamnophilidae	-2.287092656	2.12505476	20.6111393	850	1200	700	24.36602783	19.60772705	9.516601562	0	0	0.003585926	0.996414074	0
Cercomacra_brasiliana	Thamnophilidae	-2.104943879	1.85633174	22.10385048	475	950	950	17.9749736	13.01043304	9.929081117	0	0	0.005959018	0.994040982	0
Cercomacra_carbonaria	Thamnophilidae	-0.95063009	0.301542817	18.16957164	100	200	200	3.713409424	3.99432373	0.561828613	1	0	0	0	0
Cercomacra_cinerascens	Thamnophilidae	-1.962292539	1.795851087	21.09889732	575	1150	1150	2.9659729	8.355529785	10.77911377	0.885203577	0.061811003	0.052985419	0	0
Cercomacra_ferdinandi	Thamnophilidae	-1.340966345	0.635391471	19.10388434	75	150	150	9.116821289	5.176818848	7.880004882	0.166791836	0	0.833208164	0	0
Cercomacra_manu	Thamnophilidae	-2.303891126	1.936376707	23.22553865	673.5	1200	1053	9.333469432	4.707898731	9.251141403	0.892004284	0.084725303	0.023270413	0	0
Cercomacra_melanaria	Thamnophilidae	-1.750539932	1.481559085	20.11659748	427	800	746	15.59155273	13.08679199	5.009521484	0.260171304	0.218995831	0.520832864	0	0
Cercomacra_nigricans	Thamnophilidae	-0.95063009	0.301542817	18.16957164	750	1500	1500	4.228393555	11.35650635	14.25622559	0.108224309	0.295309372	0	0	0.596466319
Cercomacroides_laeta	Thamnophilidae	-1.966808727	1.659623484	21.28573715	300	600	600	3.092315674	2.505676269	11.19598389	0.844251912	0	0.01165502	0.144093068	0
Cercomacroides_nigrescens	Thamnophilidae	-2.201474175	1.78678897	22.35429756	1100	2200	2200	3.453887939	6.003112793	18.91400147	0.78140774	0.124548505	0.094043755	0	0
Cercomacroides_parkeri	Thamnophilidae	-1.675825584	1.526211509	19.45533719	1540	1950	820	6.84274617	8.32800064	2.97050894	0	0.905335506	0	0	0.094664494
Cercomacroides_serva	Thamnophilidae	-1.805940966	1.614139045	20.32913856	780	1500	1440	7.009787342	1.601135472	17.22184563	0.776461578	0.223538422	0	0	0
Cercomacroides_tyrannina	Thamnophilidae	-1.675825584	1.526211509	19.45533719	600	1200	1200	7.80947876	18.51867676	21.418396	0.460888739	0.113255435	0	0	0.425855826
Clytoctantes_alixii	Thamnophilidae	-2.50599433	2.183785003	25.90405133	700	1200	1000	8.2321167	11.18231201	5.900390625	0	0.394863661	0	0	0.605136339
Clytoctantes_atrogularis	Thamnophilidae	-2.161764695	1.632600966	24.17181097	75	150	150	8.526000976	6.797790527	3.456420898	1	0	0	0	0
Cymbilaimus_lineatus	Thamnophilidae	-2.337952448	2.234565159	21.75971905	750	1500	1500	6.824981689	15.88049316	18.11102295	0.716555328	0.097837235	0.04542286	0	0.140184576
Cymbilaimus_sanctaemariae	Thamnophilidae	-2.337952448	2.234565159	21.75971905	725	1450	1450	11.06210327	8.043579101	6.037048341	0.836885112	0.163114888	0	0	0
Dichrozona_cincta	Thamnophilidae	-2.493080212	2.401395956	23.39162326	450	900	900	6.257659912	3.383483886	19.2822876	0.906504968	0.093495032	0	0	0
Drymophila_caudata	Thamnophilidae	-0.930785518	0.476987932	16.49235793	1500	2500	2000	4.431283698	6.967392553	5.072217711	0	0.772070329	0	0	0.227929671
Drymophila_devillei	Thamnophilidae	-1.846999882	1.546386711	18.51985116	650	1300	1300	0.125099588	2.781082964	5.311966753	0.761259484	0.126063035	0.11267748	0	0
Drymophila_ferruginea	Thamnophilidae	-1.89585442	1.673240726	18.55008611	800	1600	1600	20.68438721	13.54608154	14.27661133	0	0	0.039994703	0.960005297	0
Drymophila_genei	Thamnophilidae	-1.988095274	1.648189092	19.69332629	1500	2200	1400	21.45043945	19.61669922	3.667480469	0	0	0	1	0
Drymophila_hellmayri	Thamnophilidae	-0.930785518	0.476987932	16.49235793	1500	2500	2000	10.9420166	11.1519165	0.419799805	0	0.832870138	0	0	0.167129862
Drymophila_klagesi	Thamnophilidae	-1.548773361	1.121879821	17.81761342	1500	2500	2000	10.13067627	11.03887939	1.816406249	0.078045546	0.807005894	0	0	0.11494856
Drymophila_malura	Thamnophilidae	-2.160826361	2.073290834	19.83824136	950	1900	1900	24.93341064	19.45239258	10.96203613	0	0	0.060657735	0.939342265	0
Drymophila_ochropyga	Thamnophilidae	-1.988095274	1.648189092	19.69332629	1125	1950	1650	17.46636792	11.82323819	11.28625944	0	0	0.033632786	0.966367214	0
Drymophila_rubricollis	Thamnophilidae	-1.89585442	1.673240726	18.55008611	1450	2000	1100	24.9447937	21.92468262	6.040222168	0	0	0.008596176	0.991403824	0
Drymophila_squamata	Thamnophilidae	-2.395765573	2.352686617	21.91440141	450	900	900	17.94133616	8.664471646	18.55372904	0	0	0.012319117	0.987680883	0
